Altura (m),Idade,Sexo,Velocidade média (m/s),Cadência,Comprimento médio passada,Erro absoluto médio do comprimento de passo em metros,Desvio padrão comprimento passo medido em metros,Desvio padrão do erro de comprimento de passo em metros,Largura da passada,Erro largura da passada,Desvio padrão largura da passada,Comprimento médio de meio passo em metros,Erro absoluto médio do meio comprimento de passo em metros,Desvio padrão do comprimento médio de meio passo em metros,Desvio padrão do erro de comprimento de meio passo em metros,Comprimento do Swing em metros,Erro absoluto médio do swing em metros,Desvio padrão do swing em metros,Desvio padrão do erro de swing em metros,Comprimento do Stance em metros,Erro absoluto médio do stance em metros,Desvio padrão do stance em metros,Desvio padrão do erro de stance em metros,Distância inicial do pé em metros,Erro absoluto médio da distância entre os pés em metros,Desvio padrão da distância inicial entre os pés,Desvio padrão do erro da distância inicial entre os pés em metros,Ângulo médio de abertura das pernas durante a caminhada (°),Desvio padrão do ângulo médio dos passos em graus,Número de amostras do ângulo,Ângulo médio da coxa do joelho esquerdo,Desvio padrão do ângulo  médio da coxa do joelho esquerdo,Ângulo médio de flexão do joelho esquerdo,Desvio padrão do ângulo de flexão do joelho esquerdo,Ângulo médio de flexão do joelho direito,Desvio padrão do ângulo de flexão do joelho direito,Ângulo extensão do quadril (°),Desvio padrão do ângulo de extensão do quadril (°),Simetria do comprimento de passo,Desvio padrão da simetria do comprimento de passo,Movimento
1.7500,21.00,0,0.6204,11.2827,0.9550,0.1994,0.1994, 0.07,0.0713,0.1097,0.1098,0.5071,0.1711,0.2677,0.1720, 0.7024,0.3634,0.2434,0.2434,0.8076,0.4746,0.2357 ,0.2357,0.1810, 0.0905,6.1754,11.5210,173,-12.339296002764812,43.274253326757645,21.861560235284177,20.133029055232807,15.978850015633348,14.29457740494278,-5.914772708255437,11.709193504599314,0.6175627693371171,0.41448458443278463,0,,
1.7500,21.00,0,0.7225,14.6728,0.9814,0.1697,0.1697, 0.06,0.0753,0.1057,0.1073,0.5147,0.1787,0.2365,0.1539, 0.6760,0.3370,0.2299,0.2299,0.7627,0.4297,0.2375 ,0.2375,0.1810, 0.0905,7.3653,12.5019,186,-12.028280753813915,45.112754664896165,19.967033583568465,18.73686431223286,16.523692413004433,14.322406014211975,-6.555161762951883,11.949191798840188,0.6963130255148838,0.40279571494516936,0,,
1.7500,21.00,0,0.8922,16.5236,1.0033,0.1493,0.1493, 0.05,0.0799,0.1011,0.1018,0.5139,0.1779,0.2140,0.1425, 0.6510,0.3120,0.2215,0.2215,0.7279,0.3949,0.2357 ,0.2357,0.1810, 0.0905,9.4175,13.5627,212,-9.264089927121196,48.23535308424042,21.232445448351754,20.159201970030956,14.260094752615037,13.770370331603447,-6.418108767927877,11.975723900172111,0.7410310544367709,0.3810540213693925,0,,
1.7500,21.00,0,0.9176,19.1738,1.0066,0.1433,0.1433, 0.05,0.0817,0.0993,0.1007,0.4956,0.1596,0.2021,0.1473, 0.6137,0.2747,0.2295,0.2295,0.6916,0.3586,0.2405 ,0.2405,0.1810, 0.0905,9.7611,13.7133,223,-9.512679526969825,49.500935103141316,21.574608407294967,20.07619173920606,14.046507391998647,13.499157587346703,-6.528362976289845,11.76524354753243,0.7503434900600866,0.353524156461908,0,,
1.7500,21.00,0,0.9390,18.8411,0.9816,0.1203,0.1203, 0.06,0.0809,0.1001,0.0961,0.4984,0.1624,0.1883,0.1375, 0.6036,0.2646,0.2183,0.2183,0.6715,0.3385,0.2338 ,0.2338,0.1810, 0.0905,9.8233,13.4829,267,-8.592068588522839,49.64838278131226,21.180897420243106,19.908825822415995,14.29775662829804,13.547403922750116,-4.600105185852488,13.474088330480413,0.7844390740922208,0.34277467089224506,0,,
1.7500,21.00,0,0.9713,20.6788,0.9802,0.1196,0.1196, 0.06,0.0822,0.0988,0.0943,0.4942,0.1582,0.1773,0.1317, 0.5899,0.2509,0.2111,0.2111,0.6502,0.3172,0.2308 ,0.2308,0.1810, 0.0905,10.2496,13.5413,279,-8.032906479269325,50.82677546481353,21.32750297685337,19.582604108864352,13.915095058990858,13.247162497248457,-4.182038466506078,13.591797950773474,0.8102430411282769,0.3313099622052072,0,,
1.7500,21.00,0,0.9849,23.0144,0.9800,0.1182,0.1182, 0.06,0.0820,0.0990,0.0936,0.4872,0.1512,0.1705,0.1308, 0.5687,0.2297,0.2121,0.2121,0.6365,0.3035,0.2243 ,0.2243,0.1810, 0.0905,10.4522,13.5727,284,-7.37999424904349,51.250233292302156,21.032000408621347,19.39709037084047,14.456609096516718,13.447367984362977,-4.0375936218635236,13.568207428783333,0.8006966408741185,0.3156103068201157,0,,
1.7500,21.00,0,1.0205,24.8347,0.9774,0.1156,0.1156, 0.07,0.0837,0.0973,0.0925,0.4876,0.1516,0.1626,0.1253, 0.5654,0.2264,0.2034,0.2034,0.6213,0.2883,0.2206 ,0.2206,0.1810, 0.0905,10.8004,13.6844,294,-8.418807088163906,51.48029161640637,20.132080489210097,19.052125320485732,14.691269009055112,13.582796673865616,-3.086279988455965,14.304944113105066,0.8338000100654285,0.31861066200995714,0,,
1.7500,21.00,0,1.0568,26.2124,0.9618,0.1202,0.1202, 0.08,0.0845,0.0965,0.0909,0.4897,0.1537,0.1555,0.1198, 0.5613,0.2223,0.1959,0.1959,0.6128,0.2798,0.2140 ,0.2140,0.1810, 0.0905,11.3574,13.9075,307,-6.316997036979554,53.01738720605643,20.95399647264134,19.588825060899783,14.241698107160925,13.22606270178766,-2.9897523257822054,14.057514969439504,0.8478372571787162,0.3085787503311525,0,,
1.7500,21.00,0,1.1438,27.1707,0.9699,0.1162,0.1162, 0.08,0.0860,0.0950,0.0881,0.4922,0.1562,0.1494,0.1149, 0.5585,0.2195,0.1891,0.1891,0.6061,0.2731,0.2076 ,0.2076,0.1810, 0.0905,12.0627,14.0626,331,-6.96125051874827,53.95138958504765,21.974402360655063,19.818828583191106,14.37816217417887,13.837003360300349,-2.090665036729281,14.140775193711336,0.8599827315033499,0.2994433424175087,0,,
